Age,Weight,Sleep_Hours,Sleep_Timing,Working_Hours,Study_Hours,Exercise_Hours,Water_Intake,Healthy_Diet,Fast_Food_Weekly,Health_Issues,Exam_Preparation,Family_Issues,Location_Type,Social_Media_Usage,Instagram_Hours,Facebook_Hours,Stress_Level
43,40.5,5.8,Normal,5.8,0.8,0.7,7.0,3,0,0,1,1,Rural,1,1.7,1.0,Moderate
32,53.9,9.3,Normal,4.7,2.5,0.4,5.7,5,4,0,0,0,Urban,1,0.0,1.7,Minimal
40,49.0,9.7,Normal,7.6,5.2,1.2,3.6,3,0,0,0,0,Rural,1,4.1,2.1,Minimal
58,87.0,8.0,Normal,5.8,3.8,0.0,6.5,7,5,0,1,0,Rural,1,2.5,0.0,Mild
48,91.7,9.8,Late,7.5,6.1,1.5,4.3,4,2,0,0,0,Rural,1,3.8,1.2,Minimal
24,75.1,10.2,Normal,6.8,2.8,2.8,7.3,4,1,0,0,0,Rural,1,2.4,0.0,Minimal
50,66.5,6.0,Normal,4.7,4.8,2.1,7.5,7,2,0,1,0,Rural,1,2.1,2.6,Minimal
28,70.4,5.6,Normal,11.4,0.9,1.3,4.5,6,0,0,0,0,Rural,1,2.0,1.6,Minimal
45,87.0,8.1,Normal,8.3,1.2,0.0,3.6,3,1,0,0,0,Rural,1,2.2,0.1,Minimal
29,40.2,3.0,Late,9.7,2.0,0.0,7.5,4,2,0,0,0,Urban,1,0.0,0.8,Moderate
22,53.9,6.7,Normal,3.6,0.8,0.4,3.5,3,4,0,0,0,Urban,1,3.7,2.6,Mild
28,85.1,6.0,Early,6.5,0.8,1.2,7.6,3,4,0,0,0,Urban,1,1.8,0.3,Minimal
37,88.2,6.7,Late,6.6,2.6,1.4,6.0,5,5,0,0,0,Rural,1,2.3,0.0,Minimal
54,78.8,5.2,Early,10.0,3.3,0.3,8.1,8,0,0,1,0,Urban,1,1.1,1.4,Mild
35,54.3,6.8,Early,11.4,3.1,0.0,4.4,5,1,0,0,0,Rural,0,0.0,0.0,Mild
30,84.8,7.9,Early,5.6,4.5,0.0,5.4,6,1,0,0,0,Urban,0,0.0,0.0,Minimal
59,90.4,9.6,Late,8.3,2.7,0.0,4.6,3,0,0,1,0,Rural,1,4.9,0.7,Moderate
32,80.8,7.7,Late,10.6,0.2,2.5,2.8,4,0,1,0,1,Rural,1,3.2,1.8,Moderate
38,40.0,4.3,Normal,6.6,2.2,1.8,6.0,4,5,0,1,0,Rural,1,3.9,0.2,Mild
40,71.9,7.1,Normal,6.5,4.3,2.3,7.5,8,4,0,1,0,Urban,1,3.1,1.9,Minimal
39,78.8,9.1,Normal,9.0,3.4,0.3,7.6,6,5,1,0,1,Rural,1,0.0,0.5,High
59,62.3,6.7,Normal,4.8,0.3,1.6,6.4,5,0,0,0,0,Rural,1,2.7,2.6,Minimal
55,72.8,8.0,Early,3.9,0.8,1.3,8.2,2,1,1,0,1,Urban,1,2.9,1.4,Mild
43,62.3,8.8,Early,1.8,2.1,0.4,3.8,4,0,0,0,0,Rural,1,3.7,0.2,Minimal
29,57.1,7.3,Normal,9.4,4.4,1.3,5.7,6,0,0,1,1,Urban,1,2.5,2.5,Moderate
59,92.7,7.5,Late,10.7,2.2,2.9,7.0,3,2,0,0,1,Rural,1,3.4,2.7,Mild
15,73.2,7.9,Early,8.0,4.1,1.7,9.0,5,2,0,1,0,Urban,1,2.2,1.1,Minimal
39,53.4,6.4,Normal,10.0,4.8,1.4,7.4,1,1,1,0,0,Urban,1,6.0,0.0,High
21,49.4,6.7,Normal,3.7,4.1,2.2,4.6,5,0,0,0,0,Rural,1,2.3,0.1,Minimal
23,57.1,5.7,Normal,9.2,3.8,0.0,4.5,3,0,0,0,0,Urban,1,2.3,0.2,Moderate
38,57.2,6.3,Early,8.3,0.0,1.4,8.3,7,0,0,0,0,Rural,1,0.3,1.7,Minimal
15,72.2,8.2,Late,6.3,0.9,0.7,8.2,3,1,0,0,0,Rural,1,2.6,1.0,Minimal
58,77.3,7.8,Normal,8.7,3.7,0.0,5.5,8,2,0,0,0,Urban,1,4.8,1.8,Mild
22,77.3,5.3,Normal,11.6,1.3,0.0,8.5,3,3,0,1,0,Rural,1,3.4,2.2,High
38,58.7,5.6,Normal,9.8,2.8,0.2,6.0,5,5,0,1,1,Urban,1,0.6,0.4,Critical
25,83.8,6.1,Normal,6.8,5.5,0.8,4.4,3,0,0,0,1,Urban,1,0.0,1.8,Moderate
31,88.4,4.9,Normal,6.8,0.9,0.0,10.5,4,8,0,0,0,Urban,1,0.9,0.9,Moderate
22,66.1,7.4,Late,8.8,3.5,1.0,3.9,1,4,1,0,0,Rural,1,2.5,1.9,High
49,54.5,6.1,Early,9.2,5.6,1.5,3.5,7,2,0,1,0,Rural,1,3.1,1.2,Mild
49,71.5,7.8,Early,6.4,0.0,0.3,6.9,3,6,0,1,1,Urban,1,2.9,0.2,High
47,102.4,8.5,Early,11.6,1.4,2.4,5.6,6,1,0,1,0,Rural,1,2.0,0.0,Minimal
19,54.1,4.5,Late,7.9,1.4,2.0,7.7,6,2,0,0,1,Urban,1,1.5,0.6,Mild
56,62.1,6.1,Early,10.3,3.8,0.0,9.3,9,0,0,0,1,Rural,1,1.3,1.5,Mild
53,70.9,4.7,Normal,7.3,2.4,0.0,9.6,6,2,0,0,1,Rural,1,0.3,1.5,Mild
55,78.1,4.2,Normal,12.4,4.1,2.4,4.7,6,2,0,0,1,Urban,0,0.0,0.0,Moderate
42,40.2,7.8,Normal,8.7,0.7,0.9,3.7,5,2,0,1,1,Rural,1,4.6,0.0,Moderate
21,89.6,7.3,Early,4.3,2.1,1.6,6.8,6,3,0,1,0,Urban,1,4.3,1.1,Minimal
23,89.4,6.2,Normal,6.3,2.0,2.3,8.1,5,1,0,0,0,Urban,0,0.0,0.0,Minimal
22,63.6,5.6,Early,8.9,2.9,0.4,8.9,5,2,0,0,0,Urban,1,0.0,0.0,Minimal
26,110.6,5.4,Early,11.0,3.3,0.4,7.7,5,0,0,0,0,Rural,1,1.6,0.0,Mild
48,88.4,7.3,Normal,8.3,1.7,1.9,5.4,2,2,0,0,0,Urban,1,3.4,1.1,Minimal
47,87.6,6.7,Late,5.6,3.1,2.0,9.5,7,5,0,0,0,Rural,1,2.6,3.2,Minimal
37,87.8,5.7,Late,7.8,3.3,2.4,5.9,1,4,0,0,0,Urban,1,0.7,1.5,Mild
38,87.4,7.6,Late,8.8,0.0,1.8,4.9,4,0,0,0,0,Rural,1,2.8,1.8,Minimal
51,69.7,7.4,Normal,9.6,3.4,0.6,7.7,4,2,0,0,0,Urban,1,3.2,1.8,Mild
49,68.2,5.5,Late,10.9,3.2,1.2,3.9,4,0,0,0,0,Urban,1,0.0,1.7,Moderate
58,55.8,6.3,Normal,10.5,7.5,0.6,3.2,4,0,0,1,0,Rural,1,0.7,0.8,Moderate
54,61.3,8.3,Normal,7.9,3.4,1.1,7.7,2,3,0,0,0,Rural,1,3.9,2.0,Minimal
36,65.3,8.1,Early,4.7,2.6,2.6,5.6,10,4,0,0,0,Urban,1,0.0,1.3,Minimal
41,71.0,6.0,Normal,9.9,5.7,0.9,6.9,4,0,0,1,0,Rural,1,0.8,1.3,Moderate
49,94.0,9.5,Late,7.0,1.8,1.7,5.0,6,0,0,0,1,Rural,1,3.5,1.2,Minimal
15,40.0,6.7,Normal,11.2,1.3,1.1,5.5,6,2,0,1,0,Urban,1,3.5,0.0,Moderate
49,90.2,8.2,Normal,9.3,2.3,0.5,5.2,4,5,0,1,0,Rural,1,0.5,2.8,Moderate
51,54.8,5.4,Late,7.6,4.1,0.5,4.0,3,0,0,1,0,Urban,1,3.3,0.6,High
28,68.4,6.8,Normal,12.2,7.0,1.8,4.2,4,2,0,0,0,Rural,1,4.2,2.0,Moderate
17,59.1,5.6,Normal,8.9,3.6,2.1,8.2,5,1,0,0,0,Rural,1,1.0,1.5,Minimal
15,97.8,4.5,Normal,10.4,2.4,0.0,2.2,5,3,0,0,0,Urban,1,2.2,0.0,Moderate
19,62.5,6.9,Normal,6.5,2.0,0.7,6.4,4,2,0,1,0,Urban,1,0.5,0.0,Mild
40,77.8,6.5,Late,6.1,0.0,2.3,5.1,7,0,0,1,0,Urban,1,0.3,1.1,Minimal
28,78.6,8.6,Normal,3.6,0.0,1.2,9.5,5,0,0,0,1,Urban,1,2.4,1.8,Minimal
53,52.6,6.1,Normal,9.8,3.0,0.6,8.5,4,1,0,0,0,Urban,1,2.2,0.5,Mild
41,68.5,7.4,Normal,7.4,1.5,1.8,9.7,5,0,0,1,0,Urban,1,4.0,0.6,Minimal
23,88.1,6.4,Normal,12.7,3.0,0.8,6.9,5,0,0,0,0,Rural,1,1.9,0.2,Minimal
29,56.9,5.5,Late,8.6,1.8,0.8,9.2,3,5,0,0,0,Urban,1,2.5,0.1,Moderate
29,82.4,8.2,Normal,8.6,1.3,0.0,6.3,6,0,0,0,0,Urban,1,0.9,1.2,Minimal
40,65.0,6.1,Normal,10.8,0.4,0.0,7.1,2,0,0,1,0,Rural,1,1.4,2.1,Moderate
56,87.5,6.3,Normal,7.6,1.5,1.8,3.9,4,0,0,1,1,Rural,1,2.1,0.0,Mild
27,96.2,5.2,Normal,7.0,7.2,1.7,8.9,3,0,0,1,0,Rural,0,0.0,0.0,Mild
46,40.0,4.5,Late,5.6,2.2,0.1,8.4,2,1,0,0,0,Urban,1,4.0,2.5,Moderate
53,49.9,7.7,Normal,8.1,2.4,0.9,5.5,4,5,0,1,0,Urban,1,3.3,1.4,Moderate
46,63.4,6.9,Normal,8.8,2.8,0.9,6.2,3,1,1,0,0,Urban,1,2.5,0.4,Moderate
18,92.0,8.4,Late,7.0,4.8,1.8,8.1,4,0,0,0,0,Rural,1,3.2,0.0,Minimal
44,78.0,7.8,Early,10.8,3.6,0.4,6.7,4,2,0,1,0,Rural,1,2.0,1.2,Moderate
51,51.3,5.1,Early,4.1,2.6,1.0,7.5,6,2,0,0,0,Rural,1,0.0,1.7,Minimal
37,80.2,7.0,Normal,9.6,2.6,1.7,6.3,2,1,0,1,0,Rural,1,0.9,0.3,Mild
53,56.3,6.9,Late,5.9,2.2,1.1,6.0,5,5,0,0,0,Urban,1,1.2,0.7,Mild
59,83.1,8.5,Early,9.6,0.0,0.0,5.0,4,0,0,0,0,Rural,1,2.9,2.5,Minimal
29,78.1,8.8,Early,8.3,1.8,2.5,3.7,3,1,0,0,1,Urban,1,0.6,0.9,Minimal
57,56.2,4.4,Normal,8.3,6.5,1.4,4.4,7,0,0,0,0,Urban,0,0.0,0.0,Minimal
43,69.0,8.6,Late,9.1,5.9,1.6,5.5,7,2,0,0,1,Urban,1,3.0,2.7,Moderate
50,88.4,8.4,Late,9.6,0.9,0.0,5.8,8,2,0,1,0,Rural,1,3.7,0.9,Mild
27,41.6,5.8,Early,7.4,1.0,0.9,6.5,5,0,0,0,1,Rural,1,2.9,0.4,Minimal
46,74.5,6.9,Late,8.7,6.7,2.7,5.0,1,4,0,0,0,Urban,1,2.6,1.1,Moderate
21,53.4,3.8,Normal,9.4,0.7,0.8,8.2,5,1,0,0,0,Urban,1,3.5,1.4,Mild
36,69.8,6.9,Normal,11.1,0.0,0.7,8.7,3,1,0,0,1,Urban,1,0.5,1.1,Moderate
42,76.9,5.4,Normal,9.0,1.4,1.1,7.6,5,1,0,0,0,Urban,1,3.0,0.7,Minimal
16,100.2,7.8,Normal,7.3,2.6,3.0,6.3,8,1,0,1,0,Urban,1,0.4,1.9,Minimal
56,69.6,7.6,Normal,11.8,4.0,0.5,3.4,5,1,0,0,1,Urban,1,0.0,0.7,Moderate
59,92.0,6.9,Late,10.6,0.9,2.3,4.6,6,0,0,0,0,Urban,1,2.4,1.3,Minimal
20,57.4,7.3,Normal,10.0,4.6,0.7,5.6,3,2,1,1,0,Urban,1,1.3,0.0,High
42,62.6,5.8,Late,8.6,1.7,0.4,10.2,5,4,0,0,0,Rural,1,2.7,0.4,Mild
42,78.8,5.3,Early,7.9,2.6,1.0,8.0,3,3,0,1,0,Rural,1,3.0,0.7,Mild
58,73.0,10.2,Late,4.9,5.9,0.0,6.8,2,0,0,1,1,Rural,1,2.1,1.0,Moderate
58,65.1,8.5,Early,10.4,6.6,0.2,7.3,3,4,0,0,0,Urban,1,2.1,1.5,Moderate
34,64.7,7.2,Normal,1.9,4.3,1.0,4.9,3,3,0,0,0,Urban,0,0.0,0.0,Minimal
44,90.0,6.7,Normal,8.4,3.6,0.7,7.5,5,0,0,0,1,Rural,1,0.7,1.6,Mild
25,65.7,10.6,Normal,7.4,0.0,0.6,6.3,2,1,0,1,0,Rural,1,3.1,1.0,Minimal
42,54.7,9.5,Late,9.1,6.2,0.9,2.7,3,1,1,1,0,Urban,1,1.7,1.1,Critical
39,57.2,6.6,Normal,7.5,3.2,0.0,5.3,1,5,0,1,0,Urban,1,2.2,0.0,High
53,80.0,5.5,Normal,8.3,3.3,0.2,4.4,1,5,0,0,0,Urban,1,0.0,1.9,Moderate
47,103.8,7.1,Normal,7.0,2.8,1.5,8.4,2,3,0,1,0,Urban,1,0.5,0.4,Mild
15,62.1,6.4,Late,8.3,2.7,0.2,7.4,5,0,1,0,0,Urban,1,0.6,2.5,Moderate
41,102.2,5.6,Normal,6.5,0.0,0.8,4.1,4,1,0,0,0,Urban,1,2.4,2.3,Mild
27,69.8,9.1,Normal,7.9,1.4,0.0,5.4,7,5,0,0,0,Urban,1,2.3,0.1,Minimal
55,65.8,7.8,Late,6.3,2.3,3.0,2.2,7,0,0,0,0,Rural,1,2.9,0.7,Minimal
17,56.3,6.4,Late,11.6,1.4,1.3,6.5,6,0,0,0,0,Urban,1,3.1,1.6,Mild
53,67.0,6.4,Late,4.8,2.4,1.2,8.5,7,0,0,0,0,Rural,1,0.0,0.0,Minimal
20,58.7,7.0,Normal,6.1,0.8,0.4,5.3,1,1,0,1,0,Rural,1,5.4,0.3,Mild
22,57.5,6.3,Early,7.3,2.7,0.0,4.4,4,2,0,0,0,Rural,1,1.1,1.3,Minimal
41,45.2,6.1,Late,7.0,2.4,1.2,7.1,5,4,0,0,0,Urban,1,3.6,0.9,Mild
23,96.5,10.1,Late,9.7,3.1,1.0,6.2,5,2,0,0,0,Urban,0,0.0,0.0,Minimal
51,86.0,5.6,Late,8.0,6.7,3.3,6.2,5,3,0,1,1,Urban,1,1.6,2.2,High
47,74.1,3.7,Normal,6.5,4.2,0.0,5.7,1,4,0,0,1,Rural,1,4.0,0.0,High
56,67.8,8.0,Normal,7.3,2.2,1.4,5.1,3,1,0,1,0,Urban,1,2.2,0.2,Mild
58,69.9,8.7,Late,9.3,5.9,0.0,5.5,2,0,1,1,0,Urban,1,1.8,1.4,Critical
38,58.3,7.2,Late,3.6,1.4,2.1,5.5,8,3,0,0,0,Rural,1,0.6,1.0,Minimal
29,53.0,4.6,Early,5.8,4.2,2.0,5.3,4,4,1,0,0,Rural,1,2.2,1.3,Mild
46,80.8,6.8,Normal,7.3,4.7,2.2,5.6,3,4,0,0,0,Urban,1,2.8,1.1,Mild
46,66.1,6.2,Normal,8.4,0.0,0.5,6.9,5,4,0,1,0,Rural,1,1.5,0.0,Mild
38,74.9,9.0,Late,7.9,3.0,0.9,8.0,6,3,0,0,0,Urban,0,0.0,0.0,Minimal
55,45.1,5.7,Early,8.5,2.2,1.5,5.7,7,3,0,1,1,Rural,0,0.0,0.0,Mild
26,65.3,7.3,Late,7.7,4.2,1.2,6.2,5,0,0,0,1,Urban,1,0.0,0.5,Mild
53,52.7,7.9,Early,9.4,2.6,1.4,2.6,8,0,0,0,0,Rural,1,0.0,1.7,Minimal
16,77.3,5.7,Early,7.4,2.0,0.7,7.3,3,1,0,0,0,Urban,1,0.9,1.4,Minimal
17,84.9,6.1,Normal,6.5,0.3,0.2,2.5,2,0,0,0,0,Urban,1,3.4,2.5,Mild
51,91.9,7.6,Late,5.5,4.7,0.6,6.0,4,5,0,0,1,Urban,1,1.6,0.8,High
31,60.6,3.0,Normal,7.4,1.8,2.6,4.2,5,3,0,0,0,Urban,1,3.7,0.8,Minimal
16,53.1,9.0,Early,7.7,0.7,2.2,6.5,2,1,0,1,0,Urban,1,2.2,0.0,Minimal
16,63.7,5.5,Normal,7.3,2.1,1.7,7.3,5,0,0,0,0,Rural,1,0.2,0.0,Minimal
42,59.5,7.1,Early,4.7,3.1,2.1,6.3,5,0,0,0,0,Rural,1,1.8,1.5,Minimal
37,76.5,5.0,Early,8.5,2.3,0.4,7.5,3,0,0,1,1,Urban,0,0.0,0.0,High
51,49.0,9.0,Normal,8.0,0.0,2.5,4.4,7,3,0,1,0,Rural,1,0.0,1.1,Minimal
46,43.7,7.0,Normal,9.2,2.9,0.0,5.1,5,1,0,0,0,Urban,1,1.9,2.6,Mild
47,64.8,7.3,Normal,7.5,0.2,1.0,5.6,6,0,0,0,0,Rural,1,0.1,1.3,Minimal
15,80.9,7.8,Normal,6.0,1.2,1.2,8.1,1,1,0,0,0,Urban,1,1.7,0.6,Minimal
33,54.6,8.6,Late,7.8,1.2,0.0,3.7,4,6,0,0,0,Rural,1,0.0,1.7,Mild
16,82.7,5.3,Normal,11.7,5.8,0.6,4.4,5,0,0,0,0,Urban,0,0.0,0.0,Moderate
58,75.5,6.6,Normal,6.6,3.6,1.3,6.2,5,1,0,0,0,Urban,1,1.9,3.0,Minimal
40,93.2,8.9,Late,7.4,3.0,0.0,6.2,3,1,0,1,0,Urban,0,0.0,0.0,Moderate
46,58.0,6.3,Early,6.2,3.6,0.0,6.8,2,0,0,1,0,Urban,1,2.4,1.1,Moderate
20,45.9,9.1,Normal,7.8,4.5,0.9,7.2,7,0,0,1,0,Rural,1,0.1,2.0,Minimal
46,79.0,7.3,Early,6.3,0.0,0.7,5.6,5,1,1,1,1,Urban,1,2.0,1.6,High
18,74.2,6.4,Late,7.4,2.5,0.0,4.9,3,1,0,0,1,Rural,1,0.4,2.3,Moderate
25,73.0,8.0,Early,10.2,2.0,1.8,6.8,5,0,0,0,0,Rural,1,0.1,1.0,Minimal
31,54.3,6.8,Normal,9.4,1.6,2.7,7.7,6,0,0,0,0,Urban,1,0.5,1.1,Minimal
52,81.6,8.3,Late,7.7,1.3,0.8,5.1,4,0,1,0,0,Urban,1,3.3,1.2,Moderate
38,60.5,6.3,Normal,7.8,0.0,0.5,8.2,7,4,0,0,0,Rural,1,0.7,0.0,Minimal
19,73.0,8.3,Normal,9.6,1.9,0.0,8.3,8,5,0,0,0,Urban,1,1.9,2.4,Mild
48,63.1,7.7,Early,4.1,3.1,0.1,7.5,4,3,0,1,0,Rural,1,3.8,0.0,Mild
20,75.3,6.5,Late,7.0,2.9,0.0,2.6,3,0,0,0,0,Urban,1,1.4,0.0,Mild
36,52.1,4.3,Normal,10.8,1.5,0.0,6.0,5,2,0,0,0,Urban,0,0.0,0.0,Moderate
25,77.5,7.7,Normal,9.5,3.4,1.3,5.0,5,3,1,0,0,Urban,1,2.7,2.9,Moderate
30,79.9,8.6,Late,7.5,3.6,1.3,5.3,6,0,1,0,1,Urban,1,2.6,1.3,High
47,71.7,7.3,Normal,4.0,2.1,1.0,7.7,3,1,0,0,0,Urban,1,0.0,0.8,Minimal
23,94.7,3.6,Normal,4.2,3.1,1.7,8.5,7,0,0,0,0,Rural,1,4.1,0.2,Minimal
20,73.1,8.7,Normal,4.5,3.4,1.9,7.0,7,1,0,0,1,Rural,1,2.0,1.3,Minimal
30,83.8,7.6,Late,5.7,1.8,0.0,6.2,2,1,0,0,0,Urban,1,0.8,2.2,Mild
43,71.4,7.9,Normal,6.1,3.6,0.3,4.4,4,1,0,1,0,Urban,0,0.0,0.0,Mild
17,82.4,6.9,Late,10.0,0.4,2.2,5.3,5,2,0,1,0,Urban,1,1.7,0.2,Mild
34,47.0,4.1,Normal,5.1,0.3,1.5,7.3,4,4,0,0,0,Urban,1,1.6,0.0,Minimal
50,70.5,7.9,Normal,6.4,2.6,1.9,4.2,5,4,0,1,0,Rural,1,1.8,0.3,Minimal
33,53.1,6.7,Early,9.1,5.0,0.9,6.5,4,1,0,0,0,Urban,1,0.0,2.3,Mild
40,72.1,5.9,Normal,8.2,2.8,1.2,7.2,1,0,0,0,0,Rural,1,1.7,1.5,Minimal
